BELÝRSÝZLÝK ORTAMINDA BÝREYSEL YATIRIM KARARLARI;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
TEMEL BULGULAR;;;;;;;;;
1;Dezenflasyon Süreci Sürüyor;;TR enflasyonu Ocak 2026'da %30.6'ya geriledi (Þubat 2025'te %39'du). TCMB yýl sonu beklentisi %25.4. Faiz indirimleri devam edecek.;;;;;;
2;Reel Faiz Pozitif — Tarihsel Nadir;;Politika faizi %37, enflasyon %30.6 ? yakl. +6.4 pp reel faiz. Bu durum TL mevduat ve DT'yi son 5 yýlýn en cazip noktasýna getirdi.;;;;;;
3;Kur Trendi Öngörülebilir;;USD/TL kademeli depreciation: 12 ay sonrasý %18.4 artýþ beklentisi (44.5?52.7). Yüksek ama kontrollü, döviz varlýklarý cazip kalýyor.;;;;;;
4;Altýn Güçlü — TL'de Rekor;;Altýn Þub 2026'da 7.515 TL/gr. 2024'te %68, 2025'te %26 getiri. Enflasyon ve kur hedge'i olarak kritik.;;;;;;
5;Çeþitlendirme Zorunlu;;Tek varlýkta yoðunlaþmak riski artýrýr. Jeopolitik, faiz ve kur risklerini dengelemek için en az 3-4 enstrüman gerekli.;;;;;;
6;Hazine Bonosu Çekici;;HB %39.4, DT %36.6 basit getiri. Mevcut enflasyonun ~9 pp üzerinde reel getiri. Defansif profiller için ideal.;;;;;;
;;;;;;;;;
RÝSK MATRÝSÝ;;;;;;;;;
Risk Faktörü;Olasýlýk;Etki;Skoru;Etkilenen Enstrüman;Önlem;;;;
Enflasyon Bekl. Üzerinde;Orta;Yüksek;?? YÜKSEK;TL Mevduat, DT;TÜFE endeksli tahvil, altýn;;;;
Kur Þoku (TL ani deðer kaybý);Düþük-Orta;Çok Yüksek;?? YÜKSEK;TL cins. tüm varlýklar;Döviz çeþitlendirme, altýn;;;;
Faiz Ýndirimlerinin Yavaþlamasý;Orta;Orta;?? ORTA;Uzun vadeli tahvil;Kýsa vadeli araçlar tercih et;;;;
Jeopolitik Risk Artýþý;Orta;Orta-Yüksek;?? ORTA;Hisse, CDS, döviz;Altýn, geliþmiþ ülke varlýklarý;;;;
Global Resesyon;Düþük;Yüksek;?? ORTA;Brent petrol, ihracat;Savunma varlýklarý, mevduat;;;;
Altýn Fiyatý Düþüþü;Düþük;Orta;?? DÜÞÜK;Altýn pozisyonu;Kýsmi pozisyon stratejisi;;;;
;;;;;;;;;
PROFÝL–ENSTRÜMAN KARAR MATRÝSÝ (%=Portföy Aðýrlýðý);;;;;;;;;
Profil;TL Mevd.;Dev.Tahvil;Haz.Bono;TÜFE-End.;USD Mevd.;Altýn;BIST;Eurobond;Kripto
Defansif;? %40;? %30;? %20;? %10;?;?;?;?;?
Temkinli;? %25;? %35;? %15;? %10;?? %10;?? %5;?;?? %0;?
Dengeli;?? %10;? %25;?;?? %10;? %20;? %20;?? %15;? %10;?
Büyüme;?;?? %5;?;?;? %25;? %20;? %30;? %15;?? %5
Spekülatif;?;?;?;?;?? %15;? %25;? %30;?? %10;? %20
;;;;;;;;;
 3–5 YILLIK MAKRO SENARYO GÖRÜNÜMÜ;;;;;;;;;
Senaryo;Olasýlýk;2026 YS Enf.;USD/TL 2027;Pol.Faiz 2027;Def. Portföy Getiri;Dengeli Portföy Getiri;;;
?? Baz Senaryo;%55;%16-18;58-62;22%;%28-32;%20-25;;;
?? Yukarý Risk (Yüksek Enf.);%25;%22-25;65-70;%28;%22-26;%15-20;;;
?? Aþaðý Risk (Deflasyon/Þok);%20;%30+;70-80;%35+;%18-22;%25-30;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
